createdAt,status,restaurantName,pickupDeadline,driverArrivedAtRestaurantAt,pickedAt
2021-01-24 19:42:07.867,complete,GoodFood Basel 2,2021-01-24 20:07:00.000,2021-01-24 19:50:43.264,2021-01-24 19:51:55.403
2021-01-24 19:42:39.292,complete,Maria,2021-01-24 20:08:00.000,2021-01-24 19:54:20.674,2021-01-24 19:54:25.001
2021-01-24 19:46:47.480,complete,Maria,2021-01-24 20:10:00.000,2021-01-24 20:01:28.879,2021-01-24 20:04:36.376
2021-01-24 19:50:52.522,complete,Pizza Princess Neuchâtel,2021-01-24 20:15:00.000,,
2021-01-24 19:58:56.752,error_payment,GoodFood Lausanne,2021-01-24 20:22:00.000,,
2021-01-24 20:01:16.535,canceled_reimbursed,GoodFood Basel 2,2021-01-24 20:39:00.000,2021-01-24 20:06:09.894,2021-01-24 20:24:35.856
2021-01-24 20:07:21.514,complete,Red Pat - Craft Burgers & Beer,2021-01-24 20:36:00.000,2021-01-24 20:15:48.714,2021-01-24 20:15:50.996
2021-01-24 20:19:38.384,complete,Maria,2021-01-24 20:48:00.000,2021-01-24 20:28:13.501,2021-01-24 20:30:47.529
2021-01-24 20:30:51.627,complete,Maria,2021-01-24 20:58:00.000,2021-01-24 20:53:11.199,2021-01-24 20:57:23.469
2021-01-24 20:39:06.068,complete,Maria,2021-01-24 21:09:00.000,2021-01-24 20:44:55.982,2021-01-24 20:49:50.313
